Reference;Name;Category;Short description;Size;Color;Structure;Price/UAH;Price/RUB;Price/USD;URL;Images;
BZ-1486A;Блуза "Lili" BZ-1486A;Блузки;Длина по спинке: 62 смДлина рукава: 20 см;42,44,46;синий;;208;565;10.04;https://niko-opt.com/bluzki/1545-bluza-lili-bz-1486a.html;http://niko-opt.com/5547-large_default/bluza-lili-bz-1486a.jpg,http://niko-opt.com/5548-large_default/bluza-lili-bz-1486a.jpg;
BZ-1530A;Блуза "Louise" BZ-1530A;Блузки;Длина по спинке: 70 смДлина по переду: 54 смДлина рукава: 21 см;42,44,46,48,50,52,54,56;изумрудный;креп-шифон;181;501;8.87;https://niko-opt.com/bluzki/1664-bluza-louise-bz-1530a.html;http://niko-opt.com/5839-large_default/bluza-louise-bz-1530a.jpg,http://niko-opt.com/5840-large_default/bluza-louise-bz-1530a.jpg;
BZ-1530B;Блуза "Louise" BZ-1530B;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;42,44,46,48,50,52,54,56;белый;креп-шифон;181;501;8.87;https://niko-opt.com/bluzki/1662-bluza-louise-bz-1530b.html;http://niko-opt.com/5821-large_default/bluza-louise-bz-1530b.jpg,http://niko-opt.com/5822-large_default/bluza-louise-bz-1530b.jpg,http://niko-opt.com/5823-large_default/bluza-louise-bz-1530b.jpg;
BZ-1530C;Блуза "Louise" BZ-1530C;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;42,44;персик;креп-шифон;181;501;8.87;https://niko-opt.com/bluzki/1663-bluza-louise-bz-1530c.html;http://niko-opt.com/5825-large_default/bluza-louise-bz-1530c.jpg,http://niko-opt.com/5826-large_default/bluza-louise-bz-1530c.jpg,http://niko-opt.com/5827-large_default/bluza-louise-bz-1530c.jpg;
BZ-1530D;Блуза "Louise" BZ-1530D;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;42,44;черный;креп-шифон;181;501;8.87;https://niko-opt.com/bluzki/1682-bluza-louise-bz-1530d.html;http://niko-opt.com/5880-large_default/bluza-louise-bz-1530d.jpg,http://niko-opt.com/5881-large_default/bluza-louise-bz-1530d.jpg;
BZ-1530E;Блуза "Louise" BZ-1530E;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;42,44,46,48,50,52,54,56;электрик;креп-шифон;181;501;8.87;https://niko-opt.com/bluzki/1684-bluza-louise-bz-1530e.html;http://niko-opt.com/5885-large_default/bluza-louise-bz-1530e.jpg,http://niko-opt.com/5884-large_default/bluza-louise-bz-1530e.jpg;
BZ-1530F;Блуза "Louise" BZ-1530F;Блузки;Длина по спинке: 70 смДлина по переду: 54 смДлина рукава: 21 см;42,44,46,48,50,52,54,56;бежевый;креп-шифон;181;501;8.87;https://niko-opt.com/bluzki/1665-bluza-louise-bz-1530f.html;http://niko-opt.com/5841-large_default/bluza-louise-bz-1530f.jpg,http://niko-opt.com/5842-large_default/bluza-louise-bz-1530f.jpg;
BZ-1530G;Блуза "Louise" BZ-1530G;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;42,44,46,48,50,52,54,56;бордовый;креп-шифон;181;501;8.87;https://niko-opt.com/bluzki/1683-bluza-louise-bz-1530g.html;http://niko-opt.com/5882-large_default/bluza-louise-bz-1530g.jpg,http://niko-opt.com/5883-large_default/bluza-louise-bz-1530g.jpg;
BZ-1530H;Блуза "Louise" BZ-1530H;Блузки;Длина по спинке - 70 смДлина по переду - 54 смДлина рукава - 21 см;46,48,50,52,54,56;темно-синий;креп-шифон;181;501;8.87;https://niko-opt.com/bluzki/1908-bluza-louise-bz-1530h.html;http://niko-opt.com/6802-large_default/bluza-louise-bz-1530h.jpg,http://niko-opt.com/6803-large_default/bluza-louise-bz-1530h.jpg;
BZ-1489A;Блуза "Maya" BZ-1489A;Блузки;Длина по спинке: 65 см;42,44,46,48;бежевый;креп-шифон;182;503;8.91;https://niko-opt.com/bluzki/1547-bluza-maya-bz-1489a.html;http://niko-opt.com/5551-large_default/bluza-maya-bz-1489a.jpg,http://niko-opt.com/5552-large_default/bluza-maya-bz-1489a.jpg;
BZ-1489B;Блуза "Maya" BZ-1489B;Блузки;Длина по спинке: 65 см;42,44,46,48;голубой;креп-шифон;182;503;8.91;https://niko-opt.com/bluzki/1548-bluza-maya-bz-1489b.html;http://niko-opt.com/5553-large_default/bluza-maya-bz-1489b.jpg,http://niko-opt.com/5554-large_default/bluza-maya-bz-1489b.jpg;
BZ-1489C;Блуза "Maya" BZ-1489C;Блузки;Длина по спинке: 65 см;42,44,46,48;белый;креп-шифон;182;503;8.91;https://niko-opt.com/bluzki/1549-bluza-maya-bz-1489c.html;http://niko-opt.com/5555-large_default/bluza-maya-bz-1489c.jpg,http://niko-opt.com/5556-large_default/bluza-maya-bz-1489c.jpg;
BZ-1489D;Блуза "Maya" BZ-1489D;Блузки;Длина по спинке: 65 см;42,44,46,48;розовый;креп-шифон;182;503;8.91;https://niko-opt.com/bluzki/1550-bluza-maya-bz-1489d.html;http://niko-opt.com/5557-large_default/bluza-maya-bz-1489d.jpg,http://niko-opt.com/5558-large_default/bluza-maya-bz-1489d.jpg;
BZ-1489E;Блуза "Maya" BZ-1489E;Блузки;Длина по спинке: 65 см;42,44,46,48;ментол;креп-шифон;182;503;8.91;https://niko-opt.com/bluzki/1551-bluza-maya-bz-1489e.html;http://niko-opt.com/5559-large_default/bluza-maya-bz-1489e.jpg,http://niko-opt.com/5560-large_default/bluza-maya-bz-1489e.jpg;
BZ-1456A;Блуза "Michelle" BZ-1456A;Блузки;Длина по спинке: 65 смДлина по полочке: 58 смДлина рукава: 62 см;42,44,46,48;черный;креп-шифон;209;568;10.09;https://niko-opt.com/bluzki/1402-bluza-michelle-bz-1456a.html;http://niko-opt.com/5232-large_default/bluza-michelle-bz-1456a.jpg,http://niko-opt.com/5233-large_default/bluza-michelle-bz-1456a.jpg;
BZ-1456B;Блуза "Michelle" BZ-1456B;Блузки;Длина по спинке: 65 смДлина по полочке: 58 смДлина рукава: 62 см;42,44,46,48;электрик;креп-шифон;209;568;10.09;https://niko-opt.com/bluzki/1404-bluza-michelle-bz-1456b.html;http://niko-opt.com/5234-large_default/bluza-michelle-bz-1456b.jpg,http://niko-opt.com/5235-large_default/bluza-michelle-bz-1456b.jpg;
BZ-1456C;Блуза "Michelle" BZ-1456C;Блузки;Длина по спинке: 65 смДлина по полочке: 58 смДлина рукава: 62 см;42,44,46,48;изумрудный;креп-шифон;209;568;10.09;https://niko-opt.com/bluzki/1405-bluza-michelle-bz-1456c.html;http://niko-opt.com/5236-large_default/bluza-michelle-bz-1456c.jpg,http://niko-opt.com/5237-large_default/bluza-michelle-bz-1456c.jpg;
BZ-1456D;Блуза "Michelle" BZ-1456D;Блузки;Длина по спинке: 65 смДлина по полочке: 58 смДлина рукава: 62 см;42,44,46,48;красный;креп-шифон;209;568;10.09;https://niko-opt.com/bluzki/1406-bluza-michelle-bz-1456d.html;http://niko-opt.com/5238-large_default/bluza-michelle-bz-1456d.jpg,http://niko-opt.com/5239-large_default/bluza-michelle-bz-1456d.jpg;
BZ-1456E;Блуза "Michelle" BZ-1456E;Блузки;Длина по спинке: 65 смДлина по полочке: 58 смДлина рукава: 62 см;42,44,46,48;молоко;креп-шифон;209;568;10.09;https://niko-opt.com/bluzki/1407-bluza-michelle-bz-1456e.html;http://niko-opt.com/5240-large_default/bluza-michelle-bz-1456e.jpg,http://niko-opt.com/5241-large_default/bluza-michelle-bz-1456e.jpg;
BZ-1456F;Блуза "Michelle" BZ-1456F;Блузки;Длина по спинке - 65 смДлина по полочке - 58 смДлина рукава - 62 см;42,44,46,48;ментол;креп-шифон;209;568;10.09;https://niko-opt.com/bluzki/1565-bluza-michelle-bz-1456f.html;http://niko-opt.com/5593-large_default/bluza-michelle-bz-1456f.jpg,http://niko-opt.com/5592-large_default/bluza-michelle-bz-1456f.jpg;
BZ-1456G;Блуза "Michelle" BZ-1456G;Блузки;Длина по спинке - 65 смДлина по полочке - 58 смДлина рукава - 62 см;42,44,46,48;белый;креп-шифон;209;568;10.09;https://niko-opt.com/bluzki/1566-bluza-michelle-bz-1456g.html;http://niko-opt.com/5594-large_default/bluza-michelle-bz-1456g.jpg,http://niko-opt.com/5595-large_default/bluza-michelle-bz-1456g.jpg;
BZ-1512A;Блуза "Nadine" BZ-1512A;Блузки;Длина изделия: 59 смДлина рукава: 16 см;42,44,46,48;бежевый;лен габардин;207;563;10;https://niko-opt.com/bluzki/1598-bluza-nadine-bz-1512a.html;http://niko-opt.com/5667-large_default/bluza-nadine-bz-1512a.jpg,http://niko-opt.com/5668-large_default/bluza-nadine-bz-1512a.jpg,http://niko-opt.com/5669-large_default/bluza-nadine-bz-1512a.jpg;
BZ-1512B;Блуза "Nadine" BZ-1512B;Блузки;Длина изделия: 59 смДлина рукава: 16 см;42,44,46,48;джинс;лен габардин;207;563;10;https://niko-opt.com/bluzki/1599-bluza-nadine-bz-1512b.html;http://niko-opt.com/5670-large_default/bluza-nadine-bz-1512b.jpg,http://niko-opt.com/5671-large_default/bluza-nadine-bz-1512b.jpg,http://niko-opt.com/5672-large_default/bluza-nadine-bz-1512b.jpg;
BZ-1467A;Блуза "Туфелька" BZ-1467A;Блузки;Длина по спинке: 60 смДлина рукава: 60 см;42,44,46,48;молоко;софт Ниагара;269;710;12.7;https://niko-opt.com/bluzki/1435-bluza-tufelka-bz-1467a.html;http://niko-opt.com/5296-large_default/bluza-tufelka-bz-1467a.jpg,http://niko-opt.com/5297-large_default/bluza-tufelka-bz-1467a.jpg;
BZ-1467B;Блуза "Туфелька" BZ-1467B;Блузки;Длина по спинке: 60 смДлина рукава: 60 см;42,44,46,48;ментол;софт Ниагара;269;710;12.7;https://niko-opt.com/bluzki/1434-bluza-tufelka-bz-1467b.html;http://niko-opt.com/5295-large_default/bluza-tufelka-bz-1467b.jpg,http://niko-opt.com/5293-large_default/bluza-tufelka-bz-1467b.jpg,http://niko-opt.com/5294-large_default/bluza-tufelka-bz-1467b.jpg;
BZ-1467C;Блуза "Туфелька" BZ-1467C;Блузки;Длина по спинке: 60 смДлина рукава: 60 см;42,44,46,48;пудра;софт Ниагара;269;710;12.7;https://niko-opt.com/bluzki/1436-bluza-tufelka-bz-1467c.html;http://niko-opt.com/5298-large_default/bluza-tufelka-bz-1467c.jpg,http://niko-opt.com/5299-large_default/bluza-tufelka-bz-1467c.jpg,http://niko-opt.com/5300-large_default/bluza-tufelka-bz-1467c.jpg;
BZ-1477A;Блузка "Suzy" BZ-1477A;Блузки;Длина по спинке - 61 смДлина по переду - 51 смДлина рукава - 24 см;42,44,46,48;красный;;180;499;8.83;https://niko-opt.com/bluzki/1516-bluzka-suzy-bz-1477a.html;http://niko-opt.com/5487-large_default/bluzka-suzy-bz-1477a.jpg,http://niko-opt.com/5488-large_default/bluzka-suzy-bz-1477a.jpg;
BZ-1477B;Блузка "Suzy" BZ-1477B;Блузки;Длина по спинке - 61 смДлина по переду - 51 смДлина рукава - 24 см;42,44,46,48;электрик;;180;499;8.83;https://niko-opt.com/bluzki/1517-bluzka-suzy-bz-1477b.html;http://niko-opt.com/5489-large_default/bluzka-suzy-bz-1477b.jpg,http://niko-opt.com/5490-large_default/bluzka-suzy-bz-1477b.jpg;
BZ-1477C;Блузка "Suzy" BZ-1477C;Блузки;Длина по спинке - 61 смДлина по переду - 51 смДлина рукава - 24 см;42,44,46,48;темно-синий;;180;499;8.83;https://niko-opt.com/bluzki/1518-bluzka-suzy-bz-1477c.html;http://niko-opt.com/5491-large_default/bluzka-suzy-bz-1477c.jpg,http://niko-opt.com/5492-large_default/bluzka-suzy-bz-1477c.jpg;
BZ-1477D;Блузка "Suzy" BZ-1477D;Блузки;Длина по спинке: 61 смДлина по переду: 51 смДлина рукава: 24 см;42,44,46,48;черный;хлопок;180;499;8.83;https://niko-opt.com/bluzki/1579-bluzka-suzy-bz-1477d.html;http://niko-opt.com/5621-large_default/bluzka-suzy-bz-1477d.jpg,http://niko-opt.com/5622-large_default/bluzka-suzy-bz-1477d.jpg;
SHT-1593A;Брюки "Gabriel" SHT-1593A;Брюки, Штаны;Длина брюк по боковому шву - 110 смПо полке гульфик с молниейШлевка - 97 смМодель утепленная на флисе;42,44,46,48;коричневый;джерси на флисе;352;908;16.3;https://niko-opt.com/bryuki-shtany/1878-bryuki-gabriel-sht-1593a.html;http://niko-opt.com/6636-large_default/bryuki-gabriel-sht-1593a.jpg,http://niko-opt.com/6637-large_default/bryuki-gabriel-sht-1593a.jpg,http://niko-opt.com/6638-large_default/bryuki-gabriel-sht-1593a.jpg;
SHT-1513A;Брюки "Ninel" SHT-1513A;Брюки, Штаны;Длина брюк - 103 см;42,48;темно-синий;лен габардин;210;570;10.13;https://niko-opt.com/bryuki-shtany/1596-bryuki-ninel-sht-1513a.html;http://niko-opt.com/5662-large_default/bryuki-ninel-sht-1513a.jpg,http://niko-opt.com/5663-large_default/bryuki-ninel-sht-1513a.jpg;
SHT-1534A;Брюки "Sofia" SHT-1534A;Брюки, Штаны;Длина брюк - 113 смДлина по внутреннему шву - 85 см;42,44,46,48;черный;костюмная ткань;273;720;12.87;https://niko-opt.com/bryuki-shtany/1686-bryuki-sofia-sht-1534a.html;http://niko-opt.com/5889-large_default/bryuki-sofia-sht-1534a.jpg,http://niko-opt.com/5890-large_default/bryuki-sofia-sht-1534a.jpg;
SKR0003;Вязанный костюм "RUBY" SKR0003;Костюмы вязаные;Рост модели -170смДлина свитера по спинке: 60 смШирина плеч: 43 смДлина рукава: 51 смДлина штанов по внешнему шву: 101 смДлина по внутреннему шву : 75 см;42-46;марсала;;575;1439;26;https://niko-opt.com/kostyumy-vyazanye/1692-vyazannyj-kostyum-ruby-skr0003.html;http://niko-opt.com/5904-large_default/vyazannyj-kostyum-ruby-skr0003.jpg,http://niko-opt.com/5905-large_default/vyazannyj-kostyum-ruby-skr0003.jpg,http://niko-opt.com/5906-large_default/vyazannyj-kostyum-ruby-skr0003.jpg;
SKR0004;Вязанный костюм "RUBY" SKR0004;Костюмы вязаные;Рост модели -170смДлина свитера по спинке: 60 смШирина плеч: 43 смДлина рукава: 51 смДлина штанов по внешнему шву: 101 смДлина по внутреннему шву : 75 см;42-46;капучино;;575;1439;26;https://niko-opt.com/kostyumy-vyazanye/1693-vyazannyj-kostyum-ruby-skr0004.html;http://niko-opt.com/5913-large_default/vyazannyj-kostyum-ruby-skr0004.jpg,http://niko-opt.com/5914-large_default/vyazannyj-kostyum-ruby-skr0004.jpg;
VKL0001;Вязаный кардиган "LIKA" VKL0001;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;светло-серый;;506;1275;23;https://niko-opt.com/kardigany-vyazanye/1787-vyazanyj-kardigan-lika-vkl0001.html;http://niko-opt.com/6268-large_default/vyazanyj-kardigan-lika-vkl0001.jpg,http://niko-opt.com/6269-large_default/vyazanyj-kardigan-lika-vkl0001.jpg;
VKL0003;Вязаный кардиган "LIKA" VKL0003;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;молоко;;506;1275;23;https://niko-opt.com/kardigany-vyazanye/1789-vyazanyj-kardigan-lika-vkl0003.html;http://niko-opt.com/6276-large_default/vyazanyj-kardigan-lika-vkl0003.jpg,http://niko-opt.com/6277-large_default/vyazanyj-kardigan-lika-vkl0003.jpg;
VKL0004;Вязаный кардиган "LIKA" VKL0004;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;джинс;;506;1275;23;https://niko-opt.com/kardigany-vyazanye/1790-vyazanyj-kardigan-lika-vkl0004.html;http://niko-opt.com/6280-large_default/vyazanyj-kardigan-lika-vkl0004.jpg,http://niko-opt.com/6281-large_default/vyazanyj-kardigan-lika-vkl0004.jpg;
VKL0007;Вязаный кардиган "LIKA" VKL0007;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;марсала;;506;1275;23;https://niko-opt.com/kardigany-vyazanye/1793-vyazanyj-kardigan-lika-vkl0007.html;http://niko-opt.com/6294-large_default/vyazanyj-kardigan-lika-vkl0007.jpg,http://niko-opt.com/6295-large_default/vyazanyj-kardigan-lika-vkl0007.jpg;
VKL0008;Вязаный кардиган "LIKA" VKL0008;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;зеленый;;506;1275;23;https://niko-opt.com/kardigany-vyazanye/1794-vyazanyj-kardigan-lika-vkl0008.html;http://niko-opt.com/6298-large_default/vyazanyj-kardigan-lika-vkl0008.jpg,http://niko-opt.com/6299-large_default/vyazanyj-kardigan-lika-vkl0008.jpg;
VKL0009;Вязаный кардиган "LIKA" VKL0009;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;темно-синий;;506;1275;23;https://niko-opt.com/kardigany-vyazanye/1795-vyazanyj-kardigan-lika-vkl0009.html;http://niko-opt.com/6302-large_default/vyazanyj-kardigan-lika-vkl0009.jpg,http://niko-opt.com/6303-large_default/vyazanyj-kardigan-lika-vkl0009.jpg;
VKL0010;Вязаный кардиган "LIKA" VKL0010;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;голубой;;506;1275;23;https://niko-opt.com/kardigany-vyazanye/1796-vyazanyj-kardigan-lika-vkl0010.html;http://niko-opt.com/6306-large_default/vyazanyj-kardigan-lika-vkl0010.jpg,http://niko-opt.com/6307-large_default/vyazanyj-kardigan-lika-vkl0010.jpg;
VKL0011;Вязаный кардиган "LIKA" VKL0011;Кардиганы вязаные;Рост модели - 170 см Длина по спинке -116 см Длина рукава - 60 см;42-50;капучино;;506;1275;23;https://niko-opt.com/kardigany-vyazanye/1797-vyazanyj-kardigan-lika-vkl0011.html;http://niko-opt.com/6310-large_default/vyazanyj-kardigan-lika-vkl0011.jpg,http://niko-opt.com/6311-large_default/vyazanyj-kardigan-lika-vkl0011.jpg;
VKC0001;Вязаный костюм "COLOS" VKC0001;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;темно-зеленый;;483;1220;22;https://niko-opt.com/kostyumy-vyazanye/1923-vyazanyj-kostyum-colos-vkc0001.html;http://niko-opt.com/6832-large_default/vyazanyj-kostyum-colos-vkc0001.jpg,http://niko-opt.com/6833-large_default/vyazanyj-kostyum-colos-vkc0001.jpg;
VKC0002;Вязаный костюм "COLOS" VKC0002;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;темно-синий;;483;1220;22;https://niko-opt.com/kostyumy-vyazanye/1925-vyazanyj-kostyum-colos-vkc0002.html;http://niko-opt.com/6836-large_default/vyazanyj-kostyum-colos-vkc0002.jpg,http://niko-opt.com/6837-large_default/vyazanyj-kostyum-colos-vkc0002.jpg;
VKC0005;Вязаный костюм "COLOS" VKC0005;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;капучино;;483;1220;22;https://niko-opt.com/kostyumy-vyazanye/1924-vyazanyj-kostyum-colos-vkc0005.html;http://niko-opt.com/6834-large_default/vyazanyj-kostyum-colos-vkc0005.jpg,http://niko-opt.com/6835-large_default/vyazanyj-kostyum-colos-vkc0005.jpg;
VKC0007;Вязаный костюм "COLOS" VKC0007;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;джинс;;483;1220;22;https://niko-opt.com/kostyumy-vyazanye/1926-vyazanyj-kostyum-colos-vkc0007.html;http://niko-opt.com/6838-large_default/vyazanyj-kostyum-colos-vkc0007.jpg,http://niko-opt.com/6839-large_default/vyazanyj-kostyum-colos-vkc0007.jpg;
VKC0008;Вязаный костюм "COLOS" VKC0008;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;графит;;483;1220;22;https://niko-opt.com/kostyumy-vyazanye/1927-vyazanyj-kostyum-colos-vkc0008.html;http://niko-opt.com/6840-large_default/vyazanyj-kostyum-colos-vkc0008.jpg,http://niko-opt.com/6841-large_default/vyazanyj-kostyum-colos-vkc0008.jpg;
VKC0009;Вязаный костюм "COLOS" VKC0009;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;электрик;;483;1220;22;https://niko-opt.com/kostyumy-vyazanye/1928-vyazanyj-kostyum-colos-vkc0009.html;http://niko-opt.com/6842-large_default/vyazanyj-kostyum-colos-vkc0009.jpg,http://niko-opt.com/6843-large_default/vyazanyj-kostyum-colos-vkc0009.jpg;
VKC0010;Вязаный костюм "COLOS" VKC0010;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;черный;;483;1220;22;https://niko-opt.com/kostyumy-vyazanye/1930-vyazanyj-kostyum-colos-vkc0010.html;http://niko-opt.com/6847-large_default/vyazanyj-kostyum-colos-vkc0010.jpg,http://niko-opt.com/6848-large_default/vyazanyj-kostyum-colos-vkc0010.jpg;
VKC0012;Вязаный костюм "COLOS" VKC0012;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;светло-серый;;483;1220;22;https://niko-opt.com/kostyumy-vyazanye/1929-vyazanyj-kostyum-colos-vkc0012.html;http://niko-opt.com/6844-large_default/vyazanyj-kostyum-colos-vkc0012.jpg,http://niko-opt.com/6845-large_default/vyazanyj-kostyum-colos-vkc0012.jpg,http://niko-opt.com/6846-large_default/vyazanyj-kostyum-colos-vkc0012.jpg;
VKC0013;Вязаный костюм "COLOS" VKC0013;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;молоко;;483;1220;22;https://niko-opt.com/kostyumy-vyazanye/1931-vyazanyj-kostyum-colos-vkc0013.html;http://niko-opt.com/6849-large_default/vyazanyj-kostyum-colos-vkc0013.jpg,http://niko-opt.com/6850-large_default/vyazanyj-kostyum-colos-vkc0013.jpg,http://niko-opt.com/6851-large_default/vyazanyj-kostyum-colos-vkc0013.jpg;
VKC0014;Вязаный костюм "COLOS" VKC0014;Костюмы вязаные;Замеры изделия- длина по спинке: 65-68 см- длина рукава: 64-67 см- длина брюк по внешнему шву: 97-100 см- длина брюк по внутреннему шву: 75-78 см;42-46;пудра;;483;1220;22;https://niko-opt.com/kostyumy-vyazanye/1932-vyazanyj-kostyum-colos-vkc0014.html;http://niko-opt.com/6852-large_default/vyazanyj-kostyum-colos-vkc0014.jpg,http://niko-opt.com/6853-large_default/vyazanyj-kostyum-colos-vkc0014.jpg;
